 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Circ.,IntDen,Median,%Area,RawIntDen,AR,Round,Solidity
1,84,255.000,0.000,255,255,255,1409.274,13.929,33.456,1404,8,10,12,0.943,21420,255,100.000,21420,1.101,0.908,0.889
2,17620,252.800,23.583,255,0,255,552.039,86.401,498.801,479,9,145,157,0.890,4454340,255,99.137,4454340,1.108,0.902,0.983
3,13,255.000,0.000,255,255,255,356.500,19.500,12.485,355,17,3,5,1.000,3315,255,100.000,3315,1.735,0.576,0.929
4,22476,247.920,41.896,255,0,255,772.482,128.910,561.813,689,40,166,177,0.895,5572260,255,97.224,5572260,1.079,0.927,0.986
5,15221,241.782,56.534,255,0,255,1613.838,124.377,474.073,1534,61,159,128,0.851,3680160,255,94.816,3680160,1.266,0.790,0.974
6,12932,251.056,31.467,255,0,255,1652.169,305.666,451.588,1584,243,133,126,0.797,3246660,255,98.453,3246660,1.081,0.925,0.966
7,16329,255.000,0.000,255,255,255,408.464,336.470,481.630,335,263,148,146,0.885,4163895,255,100.000,4163895,1.032,0.969,0.981
8,7676,247.426,43.293,255,0,255,677.600,341.359,339.220,620,292,104,98,0.838,1899240,255,97.030,1899240,1.081,0.925,0.972
9,17860,255.000,0.000,255,255,255,244.179,404.115,507.286,170,327,149,160,0.872,4554300,255,100.000,4554300,1.076,0.930,0.980
10,14969,252.223,26.465,255,0,255,1515.628,423.584,459.002,1447,354,138,139,0.893,3775530,255,98.911,3775530,1.013,0.987,0.984
11,16813,252.088,27.095,255,0,255,1087.793,434.042,490.801,1016,359,146,150,0.877,4238355,255,98.858,4238355,1.060,0.943,0.983
12,18738,243.351,53.244,255,0,255,244.728,562.532,517.588,162,495,165,139,0.879,4559910,255,95.432,4559910,1.168,0.856,0.985
13,13866,253.308,20.703,255,0,255,909.455,568.373,464.416,827,510,159,115,0.808,3512370,255,99.337,3512370,1.394,0.717,0.974
14,24451,244.446,50.794,255,0,255,1563.432,599.551,590.683,1467,511,186,176,0.881,5976945,255,95.861,5976945,1.053,0.950,0.987
15,17204,251.546,29.475,255,0,255,1249.077,595.060,512.399,1165,524,165,146,0.823,4327605,255,98.646,4327605,1.121,0.892,0.965
16,16732,250.245,34.496,255,0,255,1058.861,618.692,485.044,982,548,152,144,0.894,4187100,255,98.135,4187100,1.077,0.928,0.984
17,3,255.000,0.000,255,255,255,790.833,576.167,5.657,790,575,2,2,1.000,765,255,100.000,765,1.464,0.683,0.857
18,22078,247.458,43.202,255,0,255,116.051,679.454,563.571,34,590,161,180,0.874,5463375,255,97.042,5463375,1.124,0.890,0.982
19,19574,254.218,14.097,255,0,255,623.845,681.761,531.671,537,603,171,152,0.870,4976070,255,99.693,4976070,1.154,0.866,0.981
20,18454,255.000,0.000,255,255,255,923.116,711.762,520.843,848,627,148,169,0.855,4705770,255,100.000,4705770,1.277,0.783,0.981
21,17467,245.642,47.946,255,0,255,1353.174,709.938,496.902,1280,635,148,150,0.889,4290630,255,96.330,4290630,1.020,0.980,0.985
22,18090,251.701,28.815,255,0,255,295.375,716.524,507.085,220,638,154,158,0.884,4553280,255,98.706,4553280,1.042,0.960,0.982
23,15491,255.000,0.000,255,255,255,1542.173,775.674,474.902,1479,696,129,159,0.863,3950205,255,100.000,3950205,1.268,0.788,0.981
24,18090,254.662,9.282,255,0,255,1326.177,874.358,510.500,1253,793,148,163,0.872,4606830,255,99.867,4606830,1.151,0.869,0.982
25,22037,247.421,43.305,255,0,255,292.826,889.392,569.269,207,803,170,174,0.855,5452410,255,97.028,5452410,1.096,0.913,0.977
26,30,255.000,0.000,255,255,255,1061.767,807.467,19.314,1058,805,7,5,1.000,7650,255,100.000,7650,1.416,0.706,0.938
27,19334,248.630,39.799,255,0,255,1087.209,977.989,526.357,1009,899,157,160,0.877,4807005,255,97.502,4807005,1.021,0.980,0.982
28,72,255.000,0.000,255,255,255,1514.194,1021.069,30.971,1510,1016,9,10,0.943,18360,255,100.000,18360,1.262,0.792,0.917
