 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Circ.,IntDen,Median,%Area,RawIntDen,AR,Round,Solidity
1,,1695.000,255,0,255,255,255,287.770,44.824,153.439,266.000,20.000,44.000,50.000,0.905,432225.000,255,100,432225.000,1.159,0.863,0.967
2,,1566.000,255,0,255,255,255,192.912,44.511,156.610,170.000,22.000,45.000,45.000,0.802,399330.000,255,100,399330.000,1.218,0.821,0.965
3,,1535.000,255,0,255,255,255,395.718,50.036,147.196,375.000,26.000,42.000,48.000,0.890,391425.000,255,100,391425.000,1.207,0.828,0.964
4,,1502.000,255,0,255,255,255,252.313,68.536,150.610,233.000,42.000,39.000,53.000,0.832,383010.000,255,100,383010.000,1.678,0.596,0.965
5,,1253.000,255,0,255,255,255,459.044,112.859,131.539,439.000,93.000,41.000,40.000,0.910,319515.000,255,100,319515.000,1.054,0.948,0.964
6,,1304.000,255,0,255,255,255,190.390,130.221,134.368,170.000,109.000,40.000,43.000,0.908,332520.000,255,100,332520.000,1.212,0.825,0.967
7,,2966.000,255,0,255,255,255,362.346,150.364,209.480,335.000,116.000,55.000,68.000,0.849,756330.000,255,100,756330.000,1.242,0.805,0.976
8,,912.000,255,0,255,255,255,492.209,140.421,138.368,475.000,118.000,41.000,44.000,0.599,232560.000,255,100,232560.000,2.077,0.482,0.848
9,,1966.000,255,0,255,255,255,49.010,156.489,174.510,18.000,134.000,61.000,45.000,0.811,501330.000,255,100,501330.000,1.667,0.600,0.954
10,,1647.000,255,0,255,255,255,151.149,158.754,154.610,126.000,135.000,48.000,46.000,0.866,419985.000,255,100,419985.000,1.265,0.790,0.955
11,,1134.000,255,0,255,255,255,463.559,173.122,127.539,442.000,155.000,43.000,36.000,0.876,289170.000,255,100,289170.000,1.377,0.726,0.961
12,,1563.000,255,0,255,255,255,314.634,204.009,172.167,293.000,180.000,43.000,49.000,0.663,398565.000,255,100,398565.000,1.276,0.784,0.946
13,,1483.000,255,0,255,255,255,443.416,210.424,176.752,423.000,185.000,40.000,51.000,0.597,378165.000,255,100,378165.000,1.492,0.670,0.931
14,,1601.000,255,0,255,255,255,34.817,214.125,148.368,11.000,193.000,48.000,42.000,0.914,408255.000,255,100,408255.000,1.179,0.848,0.971
15,,1747.000,255,0,255,255,255,212.714,227.315,174.853,175.000,206.000,66.000,39.000,0.718,445485.000,255,100,445485.000,1.712,0.584,0.938
16,,1427.000,255,0,255,255,255,287.465,234.953,145.095,267.000,210.000,42.000,49.000,0.852,363885.000,255,100,363885.000,1.649,0.606,0.969
17,,1556.000,255,0,255,255,255,370.493,240.127,171.924,348.000,218.000,45.000,45.000,0.662,396780.000,255,100,396780.000,1.124,0.890,0.948
18,,1383.000,255,0,255,255,255,141.816,242.063,137.782,121.000,221.000,42.000,43.000,0.915,352665.000,255,100,352665.000,1.115,0.896,0.967
19,,808.000,255,0,255,255,255,78.933,243.726,115.640,66.000,224.000,28.000,42.000,0.759,206040.000,255,100,206040.000,1.887,0.530,0.940
20,,2054.000,255,0,255,255,255,527.225,270.108,176.409,501.000,242.000,52.000,57.000,0.829,523770.000,255,100,523770.000,1.501,0.666,0.948
21,,1582.000,255,0,255,255,255,110.637,270.626,149.439,89.000,246.000,43.000,49.000,0.890,403410.000,255,100,403410.000,1.301,0.769,0.966
22,,1251.000,255,0,255,255,255,322.964,272.478,134.468,303.000,254.000,41.000,38.000,0.869,319005.000,255,100,319005.000,1.111,0.900,0.969
23,,1326.000,255,0,255,255,255,277.330,288.182,135.539,259.000,265.000,37.000,46.000,0.907,338130.000,255,100,338130.000,1.240,0.806,0.967
24,,1792.000,255,0,255,255,255,429.410,298.946,165.782,411.000,268.000,38.000,61.000,0.819,456960.000,255,100,456960.000,1.722,0.581,0.968
25,,1132.000,255,0,255,255,255,32.192,291.124,126.468,16.000,269.000,33.000,44.000,0.889,288660.000,255,100,288660.000,1.373,0.729,0.961
26,,864.000,255,0,255,255,255,386.221,293.773,119.640,369.000,276.000,34.000,39.000,0.759,220320.000,255,100,220320.000,1.482,0.675,0.926
27,,1587.000,255,0,255,255,255,169.731,311.417,151.095,147.000,287.000,45.000,49.000,0.874,404685.000,255,100,404685.000,1.381,0.724,0.966
28,,1516.000,255,0,255,255,255,128.269,323.103,159.338,106.000,300.000,44.000,47.000,0.750,386580.000,255,100,386580.000,1.378,0.726,0.958
29,,1203.000,255,0,255,255,255,390.639,334.914,130.711,373.000,313.000,35.000,45.000,0.885,306765.000,255,100,306765.000,1.373,0.728,0.966
30,,1298.000,255,0,255,255,255,209.434,340.756,134.125,191.000,319.000,39.000,43.000,0.907,330990.000,255,100,330990.000,1.161,0.861,0.969
31,,1651.000,255,0,255,255,255,94.544,348.174,171.681,75.000,320.000,39.000,56.000,0.704,421005.000,255,100,421005.000,1.533,0.652,0.959
